DEPTH	Simplex_Low	Simplex_High	Duplex_Low	Duplex_High	Triplex_Low	Triplex_High	Tetraplex_Low	Tetraplex_High	Pentaplex_Low	Pentaplex_High
149	0.120805369	0.214765101	0.268456376	0.395973154	0.429530201	0.570469799	0.604026846	0.731543624	0.77852349	0.879194631
150	0.12	0.22	0.273333333	0.4	0.433333333	0.566666667	0.6	0.726666667	0.78	0.88
151	0.119205298	0.218543046	0.271523179	0.397350993	0.430463576	0.569536424	0.602649007	0.728476821	0.781456954	0.880794702
152	0.118421053	0.217105263	0.269736842	0.394736842	0.434210526	0.565789474	0.605263158	0.730263158	0.782894737	0.881578947
153	0.117647059	0.215686275	0.267973856	0.39869281	0.431372549	0.568627451	0.60130719	0.732026144	0.784313725	0.882352941
154	0.116883117	0.214285714	0.272727273	0.396103896	0.435064935	0.564935065	0.603896104	0.727272727	0.779220779	0.883116883
155	0.116129032	0.219354839	0.270967742	0.393548387	0.432258065	0.567741935	0.606451613	0.729032258	0.780645161	0.883870968
156	0.121794872	0.217948718	0.269230769	0.397435897	0.435897436	0.564102564	0.602564103	0.730769231	0.782051282	0.878205128
157	0.121019108	0.21656051	0.27388535	0.394904459	0.433121019	0.566878981	0.605095541	0.72611465	0.78343949	0.878980892
158	0.120253165	0.215189873	0.272151899	0.398734177	0.436708861	0.563291139	0.607594937	0.727848101	0.784810127	0.879746835
159	0.119496855	0.213836478	0.270440252	0.396226415	0.433962264	0.566037736	0.603773585	0.729559748	0.786163522	0.880503145
160	0.11875	0.2125	0.26875	0.39375	0.43125	0.56875	0.60625	0.73125	0.78125	0.88125
161	0.118012422	0.217391304	0.273291925	0.397515528	0.434782609	0.565217391	0.602484472	0.726708075	0.782608696	0.881987578
162	0.12345679	0.216049383	0.271604938	0.395061728	0.438271605	0.561728395	0.604938272	0.728395062	0.783950617	0.882716049
163	0.122699387	0.214723926	0.26993865	0.392638037	0.435582822	0.564417178	0.607361963	0.73006135	0.785276074	0.883435583
164	0.12195122	0.213414634	0.274390244	0.396341463	0.43902439	0.56097561	0.603658537	0.725609756	0.780487805	0.87804878
165	0.121212121	0.218181818	0.272727273	0.393939394	0.436363636	0.563636364	0.606060606	0.727272727	0.787878788	0.878787879
166	0.120481928	0.21686747	0.271084337	0.391566265	0.439759036	0.560240964	0.608433735	0.722891566	0.78313253	0.879518072
167	0.119760479	0.215568862	0.275449102	0.395209581	0.437125749	0.562874251	0.604790419	0.724550898	0.784431138	0.880239521
168	0.119047619	0.214285714	0.273809524	0.392857143	0.44047619	0.56547619	0.607142857	0.726190476	0.785714286	0.880952381
169	0.118343195	0.213017751	0.272189349	0.396449704	0.437869822	0.562130178	0.609467456	0.721893491	0.786982249	0.875739645
170	0.117647059	0.211764706	0.276470588	0.394117647	0.435294118	0.564705882	0.605882353	0.723529412	0.782352941	0.876470588
171	0.122807018	0.216374269	0.274853801	0.391812865	0.438596491	0.561403509	0.608187135	0.725146199	0.783625731	0.877192982
172	0.122093023	0.215116279	0.273255814	0.395348837	0.436046512	0.563953488	0.604651163	0.726744186	0.784883721	0.877906977
173	0.121387283	0.213872832	0.277456647	0.393063584	0.439306358	0.560693642	0.606936416	0.722543353	0.786127168	0.878612717
174	0.120689655	0.212643678	0.275862069	0.390804598	0.436781609	0.563218391	0.609195402	0.724137931	0.787356322	0.879310345
175	0.12	0.211428571	0.274285714	0.394285714	0.44	0.56	0.605714286	0.725714286	0.782857143	0.88
176	0.119318182	0.215909091	0.272727273	0.392045455	0.4375	0.5625	0.607954545	0.721590909	0.784090909	0.880681818
177	0.124293785	0.214689266	0.276836158	0.389830508	0.440677966	0.559322034	0.610169492	0.723163842	0.785310734	0.875706215
178	0.123595506	0.213483146	0.275280899	0.393258427	0.438202247	0.561797753	0.606741573	0.724719101	0.786516854	0.876404494
179	0.122905028	0.212290503	0.273743017	0.391061453	0.441340782	0.56424581	0.608938547	0.726256983	0.787709497	0.877094972
180	0.122222222	0.211111111	0.277777778	0.388888889	0.438888889	0.561111111	0.605555556	0.722222222	0.783333333	0.877777778
181	0.121546961	0.209944751	0.276243094	0.392265193	0.436464088	0.55801105	0.607734807	0.723756906	0.784530387	0.878453039
182	0.120879121	0.214285714	0.274725275	0.39010989	0.43956044	0.56043956	0.60989011	0.725274725	0.785714286	0.879120879
183	0.120218579	0.213114754	0.278688525	0.393442623	0.442622951	0.557377049	0.606557377	0.721311475	0.786885246	0.879781421
184	0.125	0.211956522	0.277173913	0.391304348	0.440217391	0.559782609	0.608695652	0.722826087	0.788043478	0.875
185	0.124324324	0.210810811	0.275675676	0.389189189	0.437837838	0.562162162	0.610810811	0.724324324	0.783783784	0.875675676
186	0.123655914	0.215053763	0.279569892	0.387096774	0.440860215	0.559139785	0.607526882	0.725806452	0.790322581	0.876344086
187	0.122994652	0.213903743	0.278074866	0.390374332	0.438502674	0.561497326	0.609625668	0.721925134	0.786096257	0.877005348
188	0.122340426	0.212765957	0.276595745	0.388297872	0.441489362	0.558510638	0.611702128	0.723404255	0.787234043	0.877659574
